Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2018,1,"51,749,912","59,453,638","111,203,550"
2018,2,"49,485,071","50,828,011","100,313,082"
2018,3,"61,747,129","63,568,026","125,315,154"
2018,4,"59,377,590","63,562,990","122,940,579"
2018,5,"62,619,156","69,163,181","131,782,336"
2018,6,"66,139,478","75,348,038","141,487,516"
2018,7,"69,134,671","80,014,370","149,149,041"
2018,8,"66,175,377","78,454,027","144,629,405"
2018,9,"55,460,393","66,854,643","122,315,036"
2018,10,"61,041,081","65,927,200","126,968,281"
2018,11,"58,809,658","58,907,346","117,717,004"
2018,12,"59,508,712","64,221,646","123,730,358"
2018,TOTAL,"721,248,226","796,303,116","1,517,551,343"
2019,1,"54,385,716","62,882,618","117,268,335"
2019,2,"51,428,017","52,568,314","103,996,331"
2019,3,"65,432,889","65,166,816","130,599,705"
2019,4,"61,981,793","66,579,166","128,560,959"
2019,5,"65,841,594","72,376,219","138,217,812"
2019,6,"68,442,481","77,662,576","146,105,058"
2019,7,"71,301,905","80,613,133","151,915,038"
2019,8,"68,211,760","79,973,678","148,185,438"
2019,9,"58,274,147","68,178,607","126,452,754"
2019,10,"63,399,907","66,606,782","130,006,690"
2019,11,"59,220,192","58,962,915","118,183,107"
2019,12,"65,379,676","65,363,118","130,742,794"
2019,TOTAL,"753,300,078","816,933,942","1,570,234,021"
2020,1,"57,708,497","62,977,139","120,685,637"
2020,2,"55,357,804","47,582,726","102,940,530"
2020,3,"32,559,107","26,679,802","59,238,909"
2020,4,"2,559,233","1,778,546","4,337,779"
2020,5,"6,987,684","1,415,556","8,403,240"
2020,6,"13,974,039","2,532,321","16,506,360"
2020,TOTAL,"169,146,365","142,966,090","312,112,455"
